Title,Year,Rating,Description,Genre
Karate Kid: Legends,2025,7.155,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.","Action, Adventure, Drama"
Screamboat,2025,5.366,A late-night boat ride turns into a desperate fight for survival in New York City when a mischievous mouse becomes a monstrous reality.,"Horror, Comedy"
The Fantastic 4: First Steps,2025,7.255,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","Science Fiction, Adventure"
Superman,2025,7.678,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.","Science Fiction, Adventure, Action"
Ballerina,2025,7.434,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","Action, Thriller, Crime"
KPop Demon Hunters,2025,8.42,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.","Animation, Fantasy, Comedy, Music, Family"
Phantom,2023,6.914,"In 1933, when Korea was under Japanese occupation, five people in Gyeongseong are suspected to be ""Phantom"" spies of the anti-Japanese organization.","Action, Thriller, Crime"
Guns Up,2025,6.933,"When a job goes horribly wrong, an ex-cop and family man who moonlights as a mob henchman has one night to get his family out of the city.","Action, Comedy, Crime"
Ice Road: Vengeance,2025,6.882,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.","Action, Thriller, Drama"
Happy Gilmore 2,2025,6.757,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.","Comedy, Drama"
Abraham's Boys: A Dracula Story,2025,5.2,"Following the events of Dracula, Abraham van Helsing moves his two sons, Max and Rudy, to the US in an attempt to escape their past. It does not work.",Horror
Bride Hard,2025,5.688,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.","Action, Comedy"
Shaman,2025,5.2,A Missionary converting an Indigenous Community in a remote Ecuadorian volcano must come to terms with her own Faith when her son is possessed by dark forces older than her own religion.,Horror
Man with No Past,2025,6.556,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.","Action, Drama"
Final Destination Bloodlines,2025,7.168,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.","Horror, Mystery"
Almost Cops,2025,5.88,"When an overeager community officer and a reckless ex-detective are forced to team up, plenty of chaos ensues on the streets of Rotterdam.","Action, Comedy, Crime, Mystery"
xXx,2002,5.957,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","Action, Adventure, Thriller, Crime"
Hook,2025,5.778,"Driven by a hallucinogenic drug and a thirst for revenge, James Hook murders John Darling and loses his hand to Peter Pan. Eighteen years later, Wendy, now married to Peter, has a daughter, Lily. Lily discovers Hook is her biological father, leading her to a remote birthday retreat. Hook escapes prison and embarks on a killing spree, targeting Lily and her friends at the manor.",Horror
Thunderbolts*,2025,7.4,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.","Action, Science Fiction, Adventure"
Un Reino Para Todos Nosotros,2023,6.0,"Fran and Serendín are brothers and live in the Gran Arrabal. They both dream of one day leaving their town and traveling to The Kingdom, a paradise on earth sheltered behind great walls.For that they will have to ride The Beast, a huge creature that merchants use to transport goods to The Kingdom. An unexpected situation complicates Fran and Serendín's plans, separating them.Sister and brother will embark on an adventure to meet again and at the same time find themselves, in a fantastic world divided by visible and invisible borders.","Animation, Adventure, Science Fiction"
Victoria,2021,8.5,"Victoria is a woman betrayed, now on a mission for revenge and destroying anything that gets in her way.",Action
Freakier Friday,2025,7.087,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.","Comedy, Fantasy, Family"
T.I.M.,2023,5.714,"Prosthetics scientist Abi and her adulterous husband Paul adjust to life outside the city as Abi begins working for high-tech company Integrate, developing a humanoid AI - T.I.M.","Science Fiction, Thriller, Horror"
Everyone Is Going to Die,2025,5.625,"On his daughter's birthday, a wealthy father's reconciliation attempt is hijacked by two female burglars. A shakedown evolves into a lethal cat-and-mouse as hidden motives emerge, culminating in a life-altering revelation.","Horror, Thriller, Drama"
Mission: Impossible - The Final Reckoning,2025,7.1,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.","Action, Adventure, Thriller"
The Bad Guys 2,2025,7.6,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.","Family, Comedy, Crime, Adventure, Animation"
Dirty Ice Cream,2024,5.3,"Villagers are experiencing an extreme heat. Two hot ice cream vendors come to the village to sell ice cream. With electricity out, the women of the subdivision take turns having the vendors satisfy their every needs.",Drama
Marriage Unplugged,2024,7.0,"Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.","Science Fiction, Comedy, Drama"
F1,2025,7.619,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,"Action, Drama"
Ne Zha,2019,7.906,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.","Animation, Fantasy, Adventure"
The Old Guard 2,2025,6.026,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,"Action, Fantasy"
Bring Her Back,2025,7.44,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",Horror
Laila,2025,5.8,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","Comedy, Romance"
Game On,2024,5.0,"Issam has one dream: to become a pro gamer. When his grades start to fail again, his mother has only one solution: she throws his computer in the trash, and his world collapses. What Issam doesn't know is that at that very moment, the real world is about to collapse as well. Malicious AI has taken over the newly opened arcade and brought the gaming world into the real world. Less than a few hours later, the BIVD (Supernatural Intelligence and Security Service) arrives at his door. Issam, along with the top eight gamers in the world, including his idol, Ripvis, must battle through five real-life game levels to defeat the AI. Will they be able to combine their skills and save the world?","Comedy, Adventure"
Stepmom's Desire,2020,7.148,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.","Drama, Romance"
Heads of State,2025,6.942,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.","Action, Thriller, Comedy"
Jokōsei torio: seikan shiken,1977,8.0,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?","Romance, Drama"
Materialists,2025,6.7,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.","Romance, Drama"
A Minecraft Movie,2025,6.4,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","Family, Fantasy, Comedy, Adventure"
Together,2025,7.399,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",Horror
Skin. Like. Sun.,2009,5.957,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",Romance
Angels Fallen: Warriors of Peace,2024,5.968,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.","Horror, Action, Fantasy, Adventure"
The Ritual,2025,5.831,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.","Horror, Drama, Thriller"
Skin. Like. Sun.,2009,5.957,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",Romance
Fate/stay night: Heaven's Feel III. Spring Song,2020,7.754,"As Sakura drowns in the murky darkness of the sins she has committed, Shirou's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirou's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide?","Animation, Romance, Fantasy, Action, Drama"
The Ritual,2025,5.831,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.","Horror, Drama, Thriller"
The Naked Gun,2025,6.997,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,"Comedy, Crime"
Angels Fallen: Warriors of Peace,2024,5.968,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.","Horror, Action, Fantasy, Adventure"
Kaiju No. 8: Mission Recon,2025,7.8,"In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.","Animation, Action, Science Fiction"
A Working Man,2025,6.714,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","Action, Crime, Thriller"
Dangerous Animals,2025,6.503,"A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.","Horror, Thriller"
The Amateur,2025,6.99,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.","Thriller, Action"
Moana 2,2024,7.053,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Animation, Adventure, Family, Comedy"
Night,2024,10.0,Night has to trick the mother of the missing child into sleeping to save her soul.,Animation
Eddington,2025,6.71,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.","Western, Comedy, Crime"
Smurfs,2025,5.7,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.","Animation, Family, Fantasy"
Fréwaka,2025,7.2,"Care worker Shoo, who is haunted by a personal tragedy, is sent to a remote village to care for an agoraphobic woman, who fears both her neighbours and the Na Sídhe – sinister folkloric entities she believes abducted her decades before.",Horror
My Fault,2023,7.789,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","Romance, Drama"
Sinners,2025,7.5,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Horror, Action, Thriller"
The Accountant²,2025,7.166,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.","Mystery, Crime, Thriller"
Sonic the Hedgehog 3,2024,7.675,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","Action, Science Fiction, Comedy, Family"
Stolen: Heist of the Century,2025,7.8,"Antwerp, 2003. A gang of thieves rob the impenetrable Diamond Center. Who was behind one of the world's biggest heists - and how did they pull it off?","Documentary, Crime"
Dora and the Search for Sol Dorado,2025,6.8,"Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands.","Adventure, Comedy, Family"
King Ivory,2025,7.107,"Based on extensive research involving law enforcement and gang members, a never-before-seen, authentic look inside the underworld of fentanyl trafficking from gangs inside the Oklahoma State Penitentiary at McAlester a.k.a. ""Big Mac.""","Crime, Drama, Thriller"
Saiyaara,2025,6.435,"Two artistic souls find harmony through music despite their contrasting worlds. As feelings deepen, age and circumstances challenge their undeniable bond.","Romance, Drama"
The Girl with the Needle,2024,7.6,"Struggling to survive in post-WWI Copenhagen, a newly unemployed and pregnant young woman is taken in by a charismatic elder to help run an underground adoption agency. The two form an unexpected bond, until a sudden discovery changes everything.","Drama, History"
Long Distance,2024,6.478,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.","Science Fiction, Comedy, Action"
Stolen: Heist of the Century,2025,7.769,"Antwerp, 2003. A gang of thieves rob the impenetrable Diamond Center. Who was behind one of the world's biggest heists - and how did they pull it off?","Documentary, Crime"
Interstellar,2014,8.5,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction"
Clown in a Cornfield,2025,6.293,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from the cornfields to cleanse the town of its burdens, one bloody victim at a time.","Horror, Mystery, Thriller"
Predator: Killer of Killers,2025,7.9,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.","Animation, Action, Science Fiction, Thriller"
Captain America: Brave New World,2025,6.035,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","Action, Thriller, Science Fiction"
"Sorry, Baby",2025,6.6,"Something bad happened to Agnes. But life goes on… for everyone around her, at least.","Drama, Comedy"
The Twisters,2024,6.045,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.","Action, Adventure, Drama"
Despicable Me 4,2024,7.027,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","Family, Comedy, Animation, Science Fiction"
Séance Games: Metaxu,2024,7.375,"Social media stars unite to play METAXU, an online séance game, only to find they have unwittingly unleashed the Gates of Hell.","Horror, Thriller, Crime"
Deadpool & Wolverine,2024,7.6,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","Action, Comedy, Science Fiction"
The Gorge,2025,7.713,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.","Romance, Science Fiction, Thriller"
Inside Out 2,2024,7.553,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","Animation, Adventure, Comedy, Family"
Nudus,2024,7.0,"As she awakens from a prolonged coma, a woman is shocked to learn all the details of her life her captors her captors have access to.","Horror, Thriller, Science Fiction"
365 Days: This Day,2022,5.922,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","Romance, Drama"
Dead Again,2025,9.0,"Min-hyeok and Hae-ji, Seon-woong and Mi-mi, who came on a couple's trip to Vietnam, are very excited. Min-hyeok also enjoys a thrilling secret meeting with his wife Hae-ji as well as Mi-mi, who has been in a long-term relationship, and has a satisfying time.  However, Min-hyeok suddenly feels intense pain and stops breathing, and when he opens his eyes thinking he is going to die, it is his first day in Vietnam. Min-hyeok, who is confused about everything, finds out that there is a reason for the vacation that ends in death...","Thriller, Romance, Mystery"
Kalakal,2025,6.6,"A seductive female garbage collector who embraces the life of an escort lady. Desperate to live a comfortable life, she leaves the dumpsite and enters the club. But can she also dump both her brother and her lover who remind her of her past?","Drama, Romance"
Kalakal,2025,6.6,"A seductive female garbage collector who embraces the life of an escort lady. Desperate to live a comfortable life, she leaves the dumpsite and enters the club. But can she also dump both her brother and her lover who remind her of her past?","Drama, Romance"
Control Room,2025,4.733,"A distant space colony where Olivia and her colleague Arlo is in charge of the colony's control room, ensuring the safety and well-being of the community. But the colony comes under siege from alien creatures.","Science Fiction, Thriller, Horror"
Freaky Friday,2003,6.5,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.","Family, Fantasy, Comedy"
Crazy Lizard,2024,6.4,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island.","Action, Thriller, Horror"
14 and Under,1973,5.533,"This episodic film is a close relative of Wolf Hartwig's schoolgirl report movies, made by the same people, in a similar style, around similar topics. However, this one specifically focuses on the coming-of-age aspects, to an extent that it also touches on delicate issues such as paedophilia.","Comedy, Romance"
Ligaw,2025,7.5,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.","Drama, Romance"
Mamá Reinventada,2025,8.5,"Marina decides to take Patricia, her mother, to live with her, who believes that she should behave like the widow she is now. Living with Marina, he realizes that there are many things to do. Both find a new world to explore.",Comedy
Un funeral de locos,2025,5.431,The members of a family come to say goodbye to the recently deceased patriarch. But what should have been a heartfelt wake turns into a crazy gathering when one of the attendees reveals the deceased's best kept secret.,Comedy
Kayara,2025,7.595,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.","Animation, Adventure, Family"
Harry Potter and the Philosopher's Stone,2001,7.902,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","Adventure, Fantasy"
Sex Education Mistresses,1973,6.056,"An erotic comedy depicting the sex adventures of  young wives living in an apartment complex, that are not satisfied with just having sex with their husbands.",Comedy
Mufasa: The Lion King,2024,7.4,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","Adventure, Family, Animation"
Kiss and Kill,2017,5.4,"A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire.","Mystery, Thriller, Romance"
The Avengers,2012,7.787,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure"
My Massive Cock,2022,6.2,"An extra-large penis is an object of desire for many. But for some men, extra-large seriously complicates their lives and relationships, and penis reduction surgery seems the only answer.",Documentary
Snow White,2025,4.294,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.","Family, Fantasy"
The Bad Guys,2022,7.5,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.","Family, Comedy, Crime, Adventure, Animation"
Venom: The Last Dance,2024,6.713,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","Action, Science Fiction, Adventure"
Jurassic World Dominion,2022,6.641,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.","Adventure, Action, Science Fiction"
Happy Gilmore,1996,6.661,"Failed hockey player-turned-golf whiz Happy Gilmore — whose unconventional approach and antics on the green courts the ire of rival Shooter McGavin — is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",Comedy
Fantastic Four,2005,5.797,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.","Action, Fantasy, Science Fiction"
